AM10：21 罗德岛训练场
a.m. 10:21 ロドス訓練場
10:21 AM Rhodes Island Training Ground
10:21 a.m.  로도스 아일랜드 훈련장
[name="Dobermann"]     And if you two feed me back exactly what I just said, you get a zero.
[name="도베르만"]     만약 내가 말한 대로 대답한다면, 너희는 0점이다.

[name="米格鲁"]     诶诶诶诶诶！不是吧！
[name="ビーグル"]     えええええ！　そんな！
[name="Beagle"]     Aaaaagh! No way!
[name="비글"]     에에에에?! 너무해!

[name="芬"]     我、我会回去好好思考的！谢谢杜宾老师今天的教导！
[name="フェン"]     し、しっかり自分の答えを考えておきます！　本日のご指導ありがとうございました、教官！
[name="Fang"]     I- I'll think very carefully about it! Thanks again for your lesson today, Instructor!
[name="팽"]     꼭, 꼭 열심히 생각할게요! 말씀 감사합니다, 도베르만 선생님!

[name="杜宾"]     ......
[name="ドーベルマン"]     ……
[name="Dobermann"]     ........
[name="도베르만"]     ……

[name="杜宾"]     老师，啊。
[name="ドーベルマン"]     教官、か。
[name="Dobermann"]     Instructor, huh.
[name="도베르만"]     선생님이라……

[name="杜宾"]     不知不觉，我也逐渐适应了这个身份。
[name="ドーベルマン"]     いつの間にか、その立場にも慣れてしまったな。
[name="Dobermann"]     Somehow, I'm getting used to teaching.
[name="도베르만"]     어느새부턴가, 나도 이 신분에 익숙해졌군.

[name="杜宾"]     我有了许多学生，他们中有的已经超越了我，而有的则有着光明的未来。
[name="ドーベルマン"]     私にも多くの生徒ができた。すでに私以上に成長した者もいれば、まだまだこれからの未来が待っている者もいる。
[name="Dobermann"]     I've had many students, some of whom have long surpassed me. And others have bright futures.
[name="도베르만"]     나를 거쳐 간 수많은 학생 중에, 나를 뛰어넘은 녀석도, 밝은 미래가 있는 녀석들도 있었지.

[name="杜宾"]     我在罗德岛找到了新的目标，我愿意相信阿米娅和凯尔希医生为我描绘的未来，但是......
[name="ドーベルマン"]     私はロドスで新たな目標を見つけたんだ。アーミヤとケルシー先生が私に描いた未来を信じよう。だが……
[name="Dobermann"]     I've found a new purpose in Rhodes Island. And I'm willing to believe in the future that Amiya and Dr. Kal'tsit have painted for me, but....
[name="도베르만"]     로도스 아일랜드에서 난 새로운 목표를 찾았다. 아미야와 켈시 선생이 나를 위해 그려준 미래. 하지만……

[name="杜宾"]     阿兰。
[name="ドーベルマン"]     アラン。
[name="Dobermann"]     Alan.
[name="도베르만"]     앨런.

[name="杜宾"]     胡安。
[name="ドーベルマン"]     ファン。
[name="Dobermann"]     Juan.
[name="도베르만"]     후안.

[name="杜宾"]     何塞。
[name="ドーベルマン"]     ホセ。
[name="Dobermann"]     Jose.
[name="도베르만"]     호세.

[name="杜宾"]     我的根，终究是在玻利瓦尔。
[name="ドーベルマン"]     私の根は、やはりボリバルにある。
[name="Dobermann"]     My roots are still in Bolivar.
[name="도베르만"]     나의 뿌리는 여전히 볼리바르에 있다.

[name="杜宾"]     总有一天，我是要回去看看的。
[name="ドーベルマン"]     いつの日か、戻ってこの目で確かめるさ。
[name="Dobermann"]     I'll go back, someday, and see for myself.
[name="도베르만"]     언젠가는, 돌아가 봐야겠지.

[name="杜宾"]     总有一天。
[name="ドーベルマン"]     いつの日か。
[name="Dobermann"]     Someday.
[name="도베르만"]     ……언젠가는.

